ID,Texto,Supervision
12609941,"sección v. anuncios subsección primera. contratación pública consejo insular de mallorca departamento de territorio e infraestructuras 42 anuncio del consell de mallorca de formalización del contrato servicio de asistencia técnica para redactar el proyecto de trazado y proyecto constructivo de enlace autopista de levante con la ma-30 y el coll d'en rabassa, tramo y.- mf1.- clave: 16-09.0-ml.- expediente 4/ 2016 1. entidad adjudicadora a) organismo: consell de mallorca b) dependencia que tramita el expediente: departamento de territorio e infraestructuras. sección de contratación. d) número de expediente: 4/2016 2. objeto del contrato a) tipo de contrato: servicios b) descripción del objeto: servicio de asistencia técnica para redactar el proyecto de trazado y proyecto constructivo de enlace autopista de levante con la ma-30 y el coll d'en rabassa, tramo i 3. tramitación y procedimiento a) tramitación: ordinaria b) procedimiento: abierto (concurso) ",1
12695252,"1/2 diari oficial de la generalitat de catalunya núm. 7316 - 24.2.2017 cve-dogc-b-17048101-2017 anuncios de la generalidad de cataluña otros entes infraestructures de la generalitat de catalunya, sau anuncio sobre la formalización de un contrato de servicios (ta-nb-01134.f1). 1.- se hace público, para conocimiento general, que infraestructures de la generalitat de catalunya, sau, sau, empresa pública de la generalitat de catalunya, ha formalizado el contrato que a continuación se detalla. perfil del contratante: http://www.infraestructures.gencat.cat. 2.- objeto del contrato: a) tipo: servicios. b) descripción: contrato de servicios para la asistencia técnica para la redacción del proyecto de trazado de mejora general. nueva carretera. eix del llobregat. implantación de un tercer carril reversible en la carretera c-16, del pk 96+500 al 117+300. tramo: berga – bagà. clave: ta-nb-01134.f1. d) cpv: 71311000-1. g) medio de publicación anuncio de lici",1
12679026,"v. anuncios b. otros anuncios oficiales ministerio de fomento 9375 anuncio de la demarcación de carreteras del estado en galicia sobre resolución del ministerio de fomento de aprobación provisional, del proyecto de trazado: ""supresión del ramal de acceso al polígono de o pino en la autovía lugo-santiago (a-54). tramo: lavacolla-arzúa oeste"". clave: 12-lc-5720. provincia de a coruña. el director general de carreteras, con fecha 25 de enero de 2017 ha resuelto: 1. ""aprobar provisionalmente el proyecto de trazado sobre supresión del ramal de acceso al polígono de o pino en la autovía lugo–santiago (a-54). tramo: lavacolla–arzúa oeste, con la siguiente prescripción: o antes de la aprobación definitiva del proyecto de trazado se procederá a la realización de la correspondiente auditoría de seguridad viaria, en cumplimiento del real decreto 345/2011, de 11 de marzo, sobre gestión de la seguridad de las infraestructuras viarias de la red de carreteras del estado. ",1
12688735,"v. anuncios b. otros anuncios oficiales ministerio de fomento 10780 anuncio de la demarcación de carreteras del estado en galicia sobre resolución del ministerio de fomento de aprobación definitiva del proyecto de construcción ""nuevo enlace en el p.k. 70+000 de la autopista del atlántico, ap-9, enlace de conexión con el complejo cidade da cultura y con la ciudad de santiago de compostela"". provincia: a coruña. clave: 98-lc-9904.d. el secretario de estado de infraestructuras, transporte y vivienda por delegación del ministro de fomento, por (orden fom/1356/2016, de 20 de julio (boe 08/08/16)) con fecha 24 de enero de 2017 ha resuelto: 1. ""aprobar definitivamente el proyecto de construcción ""nuevo enlace en el p.k. 70+000 de la autopista del atlántico, ap-9. enlace de conexión con el complejo cidade da cultura y con la ciudad de santiago de compostela"", de claves ac/16/108.01 (xunta de galicia) y 98-lc-9904.d (ministerio de fomento), por un presupuesto de licit",1
12688006,"<pag:1>bop www.dacoruna.gal boletín oficial da provincia da coruña boletín oficial de la provincia de a coruña lunes, 20 de febrero de 2017 | bop número 35 administración central ministerio de fomento dirección general de carreteras demarcación de carreteras del estado en galicia anuncio del ministerio de fomento de aprobación provisional del proyecto de trazado “supresión del ramal de acceso al polígono de o pino en la autovía lugo-santiago (a-54). tramo: lavacolla-arzúa oeste”. clave: 12-lc-5720. provincia: a coruña anuncio de la demarcación de carreteras del estado en galicia sobre resolución del ministerio de fomento de aproba- ción provisional, del proyecto de trazado: “supresión del ramal de acceso al polígono de o pino en la autovía lugo – santiago (a-54). tramo: lavacolla – arzúa oeste”. clave: 12-lc-5720. provincia de a coruña el director general de carreteras, con fecha 25 de enero de 2017 ha resuelto: 1. “aprobar provisionalmente el proyecto",1
12614587,"<pag:1>boja boletín oficial de la junta de andalucía número 5 - martes, 10 de enero de 2017 página 31 5. anuncios 5.2. otros anuncios oficiales consejería de medio ambiente y ordenación del territorio resolución de 3 de enero de 2017, de la delegación territorial de medio ambiente y ordenación del territorio en córdoba, por la que se somete al trámite de información pública el proyecto que se cita, en el término municipal de lucena. a fin de cumplimentar lo establecido en el art. 31 del capítulo ii del título iii de la ley 7/2007, de 9 de julio de 2007, de gestión integrada de la calidad ambiental, y a los efectos previstos en el art. 19 del decreto 356/2010, de 3 de agosto, esta delegación territorial, ha resuelto someter a información pública el proyecto de variante de lucena en la carretera a-331, promovido por agencia de obra pública de la junta de andalucía, situado en el término municipal de lucena, expediente aau/co/0021/16, durante 30 días hábi",1
12650456,"sección v. anuncios. subsección: b) otros anuncios fecha de disposición: 17/01/17 fecha de publicación: 1/02/17 número de boletín: 21 órgano emisor: departamento de vertebración del territorio, movilidad y vivienda título: anuncio del servicio provincial de vertebración del territorio, movilidad y vivienda de huesca, referente a la información pública del estudio informativo de la ""conexión entre las carreteras a-138 y a-139 por plan: fase i (salinas (a-138) - plan (a-139). tramo salinas (a-138)-plan"". clave: ei-549-hu. acceso a la disposición o anuncio en formato pdf y a su validación texto: aprobado provisionalmente por orden del consejero de vertebración del territorio, movilidad y vivienda, de fecha 21 de noviembre de 2016, el estudio informativo ""conexión entre las carreteras a-138 y a-139 por plan: fase i (salinas (a-138) - plan (a-139). tramo salinas (a-138)-plan"", clave: ei-549-hu, así como el estudio de impacto ambiental que incluye, y sigu",1
12605151,"v. anuncios b. otros anuncios oficiales ministerio de fomento 523 anuncio de la demarcación de carreteras del estado en aragón sobre sometimiento a información pública del ""documento para la información pública del nuevo ramal del enlace de sabiñánigo oeste. autovía mudéjar (a-23). tramo: sabiñánigo este (e) - sabiñánigo oeste (o)"". provincia de huesca. clave: 12-hu-5770. la dirección general de carreteras, por resolución de 21 de diciembre de 2016 ha aprobado provisionalmente el ""documento para la información pública del nuevo ramal del enlace de sabiñánigo oeste. autovía mudéjar (a-23). tramo: sabiñánigo este (e) - sabiñánigo oeste (o)"", clave 12-hu-5770, ordenando la incoación del expediente de información pública, de acuerdo con la ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas y la ley 40/2015, de 1 de octubre, de régimen jurídico del sector público en cumplimiento de cuanto establecen: - el artículo ",1
12600683,"<pag:1>30 diciembre 2016 boletín oficial de la provincia de huesca nº 248 administración del estado ministerios ministerio de fomento dirección general de carreteras demarcación de carreteras del estado en aragón anuncio 5780 anuncio de la demarcación de carreteras del estado en aragón sobre sometimiento a información pública del “documento para la información pública del nuevo ramal del enlace de sabiñánigo oeste. autovía mudéjar (a-23). tramo: sabiñánigo este (e) - sabiñánigo oeste (o)”. provincia de huesca. clave 12-hu-5770. la dirección general de carreteras, por resolución de 21 de diciembre de 2016 ha aprobado provisionalmente el “documento para la información pública del nuevo ramal del enlace de sabiñánigo oeste. autovía mudéjar (a-23). tramo: sabiñánigo este (e) - sabiñánigo oeste (o)”, clave 12-hu-5770, ordenando la incoación del expediente de información pública, de acuerdo con la ley 39/2015, de 1 de octubre, del procedimiento administrati",1
12615482,"boletín oficial de cantabria 7.2.medio ambiente y energía consejería de obras públicas y vivienda dirección general de obras públicas cve-2017-3 información pública del proyecto de construcción de la carretera de celis a la florida - conexión desde la ca-181 hasta la cueva el soplao (ayuntamiento de rionansa). en cumplimiento de lo preceptuado en el artículo 10 de la ley 5/1996, de 17 de diciembre, de carreteras de cantabria, se somete a información pública el referido proyecto y el estudio de impacto ambiental, al objeto de que en el plazo de 30 días hábiles a contar desde la publi- cación de este anuncio en el boletín oficial de cantabria, se puedan presentar las reclamacio- nes o formular las observaciones que se estimen oportunas sobre la ejecución de estas obras debiendo versar los escritos sobre las circunstancias que justifique la declaración de interés general de la carretera y sobre la concepción global de su trazado. esta información pública lo será",1
